,name,lat0,lat1,lon0,lon1,displacement meters,elev0,elev1,delta elev
0,KPC_L,79.91104890000001,79.9108442,24.085462600000003,24.0815677,0.0,380.3,365.6,-14.699999999999989
1,KPC_U,79.8339157,79.8348478,25.170414,25.1636156,0.0,868.3,866.7,-1.599999999999909
2,SCO_L,72.22910309999999,72.22240450000001,26.816556899999995,26.818094300000002,0.0,473.3,458.8,-14.5
3,SCO_U,72.39437099999999,72.3940582,27.2640591,27.2526855,0.0,993.8,985.9,-7.899999999999977
4,  MIT,65.6925583,65.6874662,37.8255386,37.822862799999996,0.0,464.9,433.9,-31.0
5,TAS_L,65.6414642,65.6397095,38.898166700000004,38.8987885,0.0,270.0,241.0,-29.0
6,TAS_U,65.70093539999999,65.6979049,38.8660011,38.8668092,0.0,565.3,568.2,2.900000000000091
7,TAS_A,65.7796249,65.7776566,38.9007759,38.897171,0.0,893.5,887.2,-6.2999999999999545
8,QAS_L,61.03144449999999,61.0306091,46.8482475,46.849636100000005,0.0,313.3,258.3,-55.0
9,QAS_U,61.1788635,61.173774699999996,46.8162308,46.8209648,0.0,909.6,888.5,-21.100000000000023
10,QAS_M,61.099883999999996,61.0987625,46.8329506,46.8335228,0.0,624.3,612.3,-12.0
11,QAS_A,61.244552600000006,61.243499,46.733429,46.7328732,0.0,1013.9,1013.2,-0.6999999999999318
12,NUK_L,64.4817352,64.48324579999999,49.522167200000005,49.5448532,0.0,585.5,516.6,-68.89999999999998
13,NUK_U,64.4981308,64.5097504,49.2616653,49.2777405,0.0,1139.0,1117.9,-21.09999999999991
14,NUK_N,64.94576260000001,64.9452297,49.8837242,49.884972999999995,0.0,924.1,919.6,-4.5
15,NUK_K,64.162262,64.1622772,51.358669299999995,51.3586807,0.0,713.6,705.6,-8.0
16,KAN_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,KAN_L,67.0973053,67.0943756,49.9319191,49.9600906,0.0,676.7,643.5,-33.200000000000045
18,KAN_M,67.0657425,67.0675964,48.8165131,48.844623600000006,0.0,1269.1,1267.8,-1.2999999999999545
19,KAN_U,67.0001678,67.0005341,47.0169144,47.0305672,0.0,1841.9,1831.0,-10.900000000000091
20,UPE_L,72.89321140000001,72.8932343,54.2950897,54.2956161,0.0,226.0,205.9,-20.099999999999994
21,UPE_U,72.8914032,72.88625340000002,53.535388899999994,53.5999184,0.0,978.7,916.4,-62.30000000000007
22,THU_L,76.3998108,76.39984150000001,68.26600649999999,68.26699620000001,0.0,571.0,565.2,-5.7999999999999545
23,THU_U,76.41965479999999,76.4196918,68.1462479,68.14714959999999,0.0,762.9,760.9,-2.0
24,  EGP,75.62459559999999,75.6257647,35.974987,35.9723557,0.0,2663.3,2662.3,-1.0
25,  CEN,77.1738008,77.1738008,61.112294299999995,61.112294299999995,0.0,1890.1,1888.0,-2.099999999999909
