name,lat,lon,elev,count,stdev lat,stdev lon, stdev elev
KPC_L,  79.9081, -24.0799, 366.4, 19,   0.0035,   0.00324,   1.1
KPC_U,  79.8326, -25.1632, 865.5, 16,   0.0033,   0.00387,   2.5
SCO_L,  72.2225, -26.8181, 459.5,  4,   0.0001,   0.00001,   0.8
SCO_U,-999.0000,-999.0000,-999.0,  0,-999.0000,-999.00000,-999.0
  MIT,  65.6894, -37.8250, 440.4, 17,   0.0024,   0.00259,   1.3
TAS_L,  65.6401, -38.8986, 249.7, 20,   0.0001,   0.00004,   1.6
TAS_U,-999.0000,-999.0000,-999.0,  0,-999.0000,-999.00000,-999.0
TAS_A,  65.7783, -38.8984, 890.0, 14,   0.0003,   0.00050,   1.0
QAS_L,  61.0307, -46.8491, 270.5, 12,   0.0003,   0.00033,   3.1
QAS_U,  61.1748, -46.8200, 892.7, 17,   0.0002,   0.00023,   1.1
QAS_M,  61.0995, -46.8332, 621.6, 18,   0.0002,   0.00008,   2.0
QAS_A,-999.0000,-999.0000,-999.0,  0,-999.0000,-999.00000,-999.0
NUK_L,  64.4821, -49.5376, 527.3, 17,   0.0017,   0.00035,   1.4
NUK_U,  64.5104, -49.2710,1119.5, 20,   0.0005,   0.00164,   1.3
NUK_N,-999.0000,-999.0000,-999.0,  0,-999.0000,-999.00000,-999.0
NUK_K,  64.1606, -51.3551, 709.8, 12,   0.0018,   0.00382,   1.4
KAN_B,  67.1251, -50.1832,-999.0,  0,-999.0000,-999.00000,-999.0
KAN_L,  67.0952, -49.9535, 664.3, 19,   0.0001,   0.00117,   3.3
KAN_M,  67.0670, -48.8378,1268.7, 19,   0.0001,   0.00120,   0.5
KAN_U,  67.0004, -47.0273,1842.7, 15,   0.0000,   0.00051,   2.8
UPE_L,  72.8933, -54.2952, 211.5, 20,   0.0001,   0.00143,   1.2
UPE_U,  72.8871, -53.5846, 929.2, 17,   0.0009,   0.00288,   3.2
THU_L,  76.3996, -68.2662, 566.8, 20,   0.0004,   0.00087,   2.3
THU_U,  76.4198, -68.1460, 761.2, 16,   0.0003,   0.00102,   1.4
  EGP,  75.6248, -35.9729,2660.8, 20,   0.0006,   0.00268,   1.5
  CEN,-999.0000,-999.0000,-999.0,  0,-999.0000,-999.00000,-999.0
